iter	Passed	Remaining
949	41199	2168
950	41224	2124
951	41250	2079
952	41275	2035
953	41300	1991
954	41335	1947
955	41369	1904
956	41440	1862
957	41505	1819
958	41542	1776
959	41571	1732
960	41600	1688
961	41623	1644
962	41649	1600
963	41677	1556
964	41702	1512
965	41732	1468
966	41764	1425
967	41813	1382
968	41869	1339
969	41917	1296
970	41946	1252
971	41972	1209
972	42000	1165
973	42028	1121
974	42054	1078
975	42081	1034
976	42110	991
977	42136	947
978	42160	904
979	42185	860
980	42215	817
981	42258	774
982	42306	731
983	42359	688
984	42408	645
985	42431	602
986	42459	559
987	42485	516
988	42512	472
989	42544	429
990	42589	386
991	42639	343
992	42675	300
993	42701	257
994	42728	214
995	42756	171
996	42791	128
997	42845	85
998	42895	42
999	42926	0
